"Country_Name",Lat,Lon,"bcg_iprange","bcg_officecode","bcg_officename","bcg_region","city_name"
Austria,"48.20849","16.37208","10.58.32.0/19",VIE,Vienna,EUR,Vienna
Poland,"52.2333","21.0167","10.59.32.0/19",WAR,Warsaw,EUR,Warsaw
"United States","38.89511","-77.03637","10.19.32.0/19",WAS,"Washington DC",AMR,Washington
Switzerland,"47.3667","8.55","10.205.32.0/19",ZRH,Zurich,EUR,"Zürich"
Chile,"-75","-71.5","10.105.0.0/16",Azure,"Central US",Cloud,"Antártica"
China,"39.9075","116.39723","10.67.32.0/19",BEI,Beijing,ASP,Beijing
,,,"10.204.32.0/19",DCW,"Digital Center Wesa",EUR,
Japan,"35.689487","139.691706","10.131.32.0/19",DVT2,"DVT temp satellite office",ASP,Tokyo
"United States","38.89511","-77.03637","10.232.32.0/19",EIN,EIN,AMR,Washington
"United States","41.8832","-87.6324","10.93.32.0/19",ADC2,"ADC2 INT_PROD","Data Centers",Chicago
Chile,"-75","-71.5","10.115.0.0/16",Azure,"Central US",Cloud,"Antártica"
Chile,"-75","-71.5","10.116.0.0/16",Azure,Europe,Cloud,"Antártica"
Japan,"33.5970","130.4081","10.144.32.0/19",FKO,Fukuoka,ASP,"Fukuoka Prefecture"
Peru,"-12.0433","-77.0283","10.229.32.0/19",LIM,Lima,AMR,"Lima Region"
"United Kingdom","51.5002","-0.1262","10.200.32.0/19",LON,London,EUR,London
India,"28.6139","77.2089","10.142.32.0/19",NDE,"New Delhi",ASP,Delhi
Singapore,"1.28967","103.85007","10.143.32.0/19",SIN,Singapore,ASP,Singapore
"Stockholm Municipality","59.3294","18.0686","10.215.32.0/19","STK (Temp)",Stockholm,EUR,"Stockholm County"
Austria,"48.20849","16.37208","10.217.32.0/19","VIE (new)",Vienna,EUR,Vienna
